,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
32,best_estimate_sum(precipitation_amount_anomaly P6M 1991_2020),Homogenised precipitation in percent of the 1991-2020 normal (season),Homogenised half-year sum (summer half-year and winter half-year) of precipitation in percent of the precipitation normal (1991-2020),percent,METNO-name,"{'baseName': 'precipitation_amount_anomaly', 'method': 'best_estimate_sum', 'period': 'P6M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RRA_9120,P6M'], 'unit': 'percent'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
33,best_estimate_sum(precipitation_amout P1D),Homogenised precipitation (24 h),Homogenised daily precipitation sum,mm,CF-name,"{'baseName': 'precipitation_amout', 'method': 'best_estimate_sum', 'period': 'P1D', 'methodDescription': 'Best estimimate sum values are homogenized sum values. This means a high quality dataset of sums with no kind of breaks in the timeseries.'}",Precipitation,"{'elementCodes': ['RR'], 'unit': 'mm'}","{'standardName': 'precipitation_amount', 'cellMethod': 'time: sum (best estimate)', 'unit': 'mm', 'version': '44'}",{'values': ['PT6H']},,
34,boolean_clear_sky_weather(cloud_area_fraction P1D),Fair weather (24 h),"Fair weather. Daily value: If the sum of cloud cover values at 06, 12 and 18 UTC is 4 or lower the day is defined as a day with fair weather, and the parameter value is set equal to 1. If the sum is higher than 4 the parameter value is set equal to 0. ",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'boolean_clear_sky_weather', 'period': 'P1D', 'methodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be below 4 (max 24 if all overcast), then it is clear sky weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN04'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum (algorithm for occurences, boolean value 1 if found 0 if not)', 'unit': '1', 'version': '44'}",{'values': ['PT0H']},,
35,boolean_fair_weather(cloud_area_fraction P1D),Mostly fair weather (24 h),"Mostly fair weather. Daily value: If the sum of cloud cover values at 06, 12 and 18 UTC is between 5 and 9 the day is defined as a day with mostly fair weather, and the parameter value is set equal to 1. If the sum is lower than 5 or higher than 9 the parameter value is set equal to 0.",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'boolean_fair_weather', 'period': 'P1D', 'methodDescription': 'The sum of the cloud cover observations at 06 and 12 UTC where no single values above 4, (and at 18 utc is 9 or lower?). The sum should be below 9 (max 24 if all overcast), then it is fair weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN09'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum (algorithm for occurences, boolean value 1 if found 0 if not)', 'unit': '1', 'version': '44'}",{'values': ['PT0H']},,
36,boolean_overcast_weather(cloud_area_fraction P1D),Overcast weather (24 h),"Overcast weather. Daily value: If the sum of cloud cover values at 06, 12 and 18 UTC is 20 or higher the day is defined as a day with overcast weather, and the parameter value is set equal to 1. If the sum is lower than 20 the parameter value is set equal to 0. ",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'boolean_overcast_weather', 'period': 'P1D', 'methodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be 20 or more (max 24 if all overcast), then it is overcast weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN20'], 'unit': 'sum'}",,{'values': ['PT0H']},,
37,ceiling_and_visibility_ok,METAR code CAVOK,"Boolean parameter indicating if the code word CAVOK was present in the METAR (aviation weather report). Code word CAVOK replaces the visibility, present weather and cloud groups when the following conditions are simultaneously met: – Visibility is 10 km or more; – There is no cloud below 1 500 m (5 000 ft) or below the highest minimum sector altitude, whichever is greater, and no cumulonimbus; – There is no significant weather phenomenon as contained in Code table 4678 the Manual on Codes (WMO-No. 306), Volume I.1, Part A – Alphanumeric codes, section C.",0,METNO-name,{'baseName': 'ceiling_and_visibility_ok'},Visibility,"{'elementCodes': ['CAVOK'], 'unit': '0'}",,,,
38,cloud_area_fraction,Cloud cover,"Total cloud cover is registered using a code 0 - 8 describing how many eights of the sky are covered by clouds (0 = no clouds, 8 = completely overcast. Code -3 or 9 = cloud cover can not be estimated because the sky is obstructed from view because of fog, drifting snow etc. Code -3 is presented as ""."").",octas,CF-name,{'baseName': 'cloud_area_fraction'},Clouds,"{'elementCodes': ['NN'], 'unit': 'octas'}","{'standardName': 'cloud_area_fraction', 'unit': '1', 'version': '44'}",,,
39,cloud_area_fraction1,"Cloud cover (lowest level, METAR)","Cloud cover (in octas) at height HS1 (metar code FEW, SCT, BKN or OVC converted to octas (2,4,6,8)) Cloud cover not known, code=-3, presented as '.'",octas,METNO-name,{'baseName': 'cloud_area_fraction1'},Clouds,"{'elementCodes': ['NS1'], 'unit': 'code'}",,{'values': ['PT20M']},,
40,cloud_area_fraction2,"Cloud cover (level 2, METAR)","Cloud cover (in octas) at height HS2 (metar code FEW, SCT, BKN or OVC converted to octas (2,4,6,8)) Cloud cover not known, code=-3, presented as '.'",octas,METNO-name,{'baseName': 'cloud_area_fraction2'},Clouds,"{'elementCodes': ['NS2'], 'unit': 'code'}",,{'values': ['PT20M']},,
41,cloud_area_fraction3,"Cloud cover (level 3, METAR)","Cloud cover (in octas) at height HS3 (metar code FEW, SCT, BKN or OVC converted to octas (2,4,6,8)) Cloud cover not known, code=-3, presented as '.'",octas,METNO-name,{'baseName': 'cloud_area_fraction3'},Clouds,"{'elementCodes': ['NS3'], 'unit': 'code'}",,{'values': ['PT20M']},,
