,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
543,sea_surface_wind_wave_from_mean_direction_of_total_energy,Mean wind wave direction,"Mean direction for wind waves. Wind waves are waves on the ocean surface and are the high frequency portion of a bimodal wave frequency spectrum. The division between high and low frequencies are sensor specific, check metadata for details.",degrees,METNO-name,{'baseName': 'sea_surface_wind_wave_from_mean_direction_of_total_energy'},Waves,"{'elementCodes': ['THHF', 'WTHHF'], 'unit': 'degrees'}",,,,
544,sea_surface_wind_wave_mean_height,"Mean wave height, wind waves",Mean height of the wind waves at the sea surface. Wind waves are waves on the ocean surface and are the high frequency portion of a bimodal wave frequency spectrum. The wave height is defined as the vertical distance from a wave trough to the following wave crest.,meters,METNO-name,{'baseName': 'sea_surface_wind_wave_mean_height'},Waves,"{'elementCodes': ['HW'], 'unit': 'meters'}",,,,
545,sea_surface_wind_wave_mean_period,"Mean wave period, wind waves","Wave mean period of the wind waves. Wind waves are waves on the ocean surface and are the high frequency portion of a bimodal wave frequency spectrum. A period is an interval of time, or the time-period of an oscillation. Wave period is the interval of time between repeated features on the waveform such as crests, troughs or upward passes through the mean level. Wave mean period is the mean period measured over the observation duration. ",seconds,CF-name,{'baseName': 'sea_surface_wind_wave_mean_period'},Waves,"{'elementCodes': ['PW'], 'unit': 'seconds'}",,,,
546,sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment,Wave period of wind waves,"The wind wave directional spectrum can be written as a five dimensional function S(t,x,y,f,theta) where t is time, x and y are horizontal coordinates (such as longitude and latitude), f is frequency and theta is direction. S can be integrated over direction, thus S1= integral(S dtheta). Frequency moments, M(n) of S1 can then be calculated as follows: M(n) = integral(S1 f^n df), where f^n is f to the power of n. The second wave period, T(m2), is calculated as the square root of the ratio M(0)/M(2).",s,CF-name,{'baseName': 'sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment'},Waves,"{'elementCodes': ['WTM02HF'], 'unit': 's'}","{'standardName': 'sea_surface_wind_wave_mean_period_from_variance_spectral_density_second_frequency_moment', 'unit': 's', 'version': '62'}",,,
547,sea_surface_wind_wave_significant_height,Significant height of wind waves,"Wind waves are waves on the ocean surface and are the high frequency portion of a bimodal wave frequency spectrum. Significant wave height is a statistic computed from wave measurements and corresponds to the average height of the highest one third of the waves, where the height is defined as the vertical distance from a wave trough to the following wave crest.",meters,CF-name,{'baseName': 'sea_surface_wind_wave_significant_height'},Waves,"{'elementCodes': ['WHM0HF'], 'unit': 'm'}","{'standardName': 'sea_surface_wind_wave_significant_height', 'unit': 'm', 'version': '62'}",,,
548,sea_water_electrical_conductivity,Sea water electrical conductivity,"Electrical conductivity of sea water measurers its ability to conduct electricity. The conductivity is connected to the ionic content in a solution, including how much salt is dissolved in the water. The electrical conductivity can be used t calculate the sea water salinity ",S m-1,CF-name,{'baseName': 'sea_water_electrical_conductivity'},Current,"{'elementCodes': ['CSW'], 'unit': 'S m-1'}","{'standardName': 'sea_water_electrical_conductivity', 'unit': 'S m-1', 'version': '62'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
549,sea_water_ph_reported_on_total_scale,Sea water pH,Sea water acidity measured on the pH scale,pH,CF-name,{'baseName': 'sea_water_ph_reported_on_total_scale'},Maritime biology,"{'elementCodes': ['PHSW'], 'unit': 'pH'}","{'standardName': 'sea_water_ph_reported_on_total_scale', 'unit': 'pH', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
550,sea_water_pressure,Sea water pressure,"""Sea water pressure"" is the pressure that exists in the medium of sea water. It includes the pressure due to overlying sea water, sea ice, air and any other medium that may be present.",dbar,CF-name,{'baseName': 'sea_water_pressure'},Current,"{'elementCodes': ['PSW'], 'unit': 'dbar'}","{'standardName': 'sea_water_pressure', 'unit': 'dbar', 'version': '62'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
551,sea_water_salinity,Sea water salinity,"Sea water salinity is the salt content of sea water, and is usually based on the electrical conductivity of sea water. The units of salinity are dimensionless and the units attribute should normally be given as 1e-3 or 0.001 i.e. parts per thousand. ",0.001,CF-name,{'baseName': 'sea_water_salinity'},Current,"{'elementCodes': ['SSW'], 'unit': '0.001'}","{'standardName': 'sea_water_salinity', 'unit': '0.001', 'version': '62'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
552,sea_water_speed,Current Speed,Current speed at different depths below sea surface (default 10 m),m/s,CF-name,{'baseName': 'sea_water_speed'},Current,"{'elementCodes': ['CV', 'CV1', 'CV10', 'CV12', 'CV14', 'CV147', 'CV15', 'CV16', 'CV17', 'CV18', 'CV2', 'CV20', 'CV22', 'CV24', 'CV26', 'CV27', 'CV28', 'CV30', 'CV32', 'CV34', 'CV36', 'CV37', 'CV38', 'CV4', 'CV40', 'CV42', 'CV47', 'CV50', 'CV52', 'CV57', 'CV6', 'CV60', 'CV62', 'CV67', 'CV69', 'CV7', 'CV70', 'CV72', 'CV75', 'CV77', 'CV8', 'CV80', 'CV82', 'CV90', 'CV98', 'X1CV', 'X1CV147', 'X1CV30', 'X1CV75'], 'unit': 'm/s'}","{'standardName': 'sea_water_speed', 'unit': 'm s-1', 'version': '44'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0, 1, 2, 4, 5, 7, 8, 10, 12, 14, 16, 17, 18, 20, 22, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 40, 42, 47, 50, 52, 57, 60, 62, 67, 70, 72, 75, 77, 80, 82, 90, 98, 147]}",
553,sea_water_temperature,Sea water temperatur,Sea water temperature is the in situ temperature of the sea water. To specify the depth at which the temperature applies use a vertical coordinate variable or scalar coordinate variable.,C,CF-name,{'baseName': 'sea_water_temperature'},Temperature,"{'elementCodes': ['TWD'], 'unit': 'C'}","{'standardName': 'sea_water_temperature', 'unit': 'C', 'version': '62'}",,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0]}",
554,sea_water_to_direction,Current direction,Current direction at different depths below sea surface (default 10 m),degrees,METNO-name,{'baseName': 'sea_water_to_direction'},Current,"{'elementCodes': ['CD', 'CD1', 'CD10', 'CD12', 'CD14', 'CD147', 'CD15', 'CD16', 'CD17', 'CD18', 'CD2', 'CD20', 'CD22', 'CD24', 'CD26', 'CD27', 'CD28', 'CD30', 'CD32', 'CD34', 'CD36', 'CD37', 'CD38', 'CD4', 'CD40', 'CD42', 'CD47', 'CD50', 'CD52', 'CD57', 'CD6', 'CD60', 'CD62', 'CD67', 'CD69', 'CD7', 'CD70', 'CD72', 'CD75', 'CD77', 'CD8', 'CD80', 'CD82', 'CD90', 'CD98', 'X1CD', 'X1CD147', 'X1CD30', 'X1CD75'], 'unit': 'N/A'}",,,"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 0, 'values': [0, 1, 2, 4, 6, 7, 8, 10, 12, 14, 16, 17, 18, 20, 22, 24, 26, 27, 28, 30, 32, 34, 36, 37, 38, 40, 42, 47, 50, 52, 57, 60, 62, 67, 70, 72, 75, 77, 80, 82, 90, 98, 147]}",
555,sea_water_turbidity,Sea water turbidity,"Turbidity, or water transparency, is a dimensionless quantity which is expressed in NTU (Nephelometric Turbidity Units), FTU(Formazin Turbidity unit) or FNU(Formazin Nephelometric Unit). These units can in most cases be used interchangeably. Turbidity expressed in NTU is the proportion of white light scattered back to a transceiver by the particulate load in a body of water, represented on an arbitrary scale referenced against measurements made in the laboratory on aqueous suspensions of formazine beads.",1,CF-name,{'baseName': 'sea_water_turbidity'},Maritime biology,"{'elementCodes': ['TSW'], 'unit': '1'}","{'standardName': 'sea_water_turbidity', 'unit': '1', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'depth_below_sea_surface', 'unit': 'm', 'defaultValue': 5, 'values': [5]}",
556,snow_coverage_type,Snow cover,"Snow cover is registered using a code 0-4. 1=mostly snow free ground. 2=equal parts of snow covered and snow free ground. 3=mostly snow covered ground. 4=Completely snow covered ground. Code=0 or -1 means ""no snow"" (-1 is presented as ""."").",code,METNO-name,{'baseName': 'snow_coverage_type'},Snow,"{'elementCodes': ['SD'], 'unit': 'code'}",,"{'defaultValue': 'PT6H', 'values': ['PT6H']}",,snow_cover_code
557,snow_temperature,Snow temperature,"Snow temperature, present value at different depths (default 10 cm)",degC,CF-alias,{'baseName': 'snow_temperature'},Temperature,"{'elementCodes': ['TSA', 'TSA10', 'TSA125', 'TSA140', 'TSA175', 'TSA25', 'TSA50', 'TSA75', 'TSA90'], 'unit': 'degC'}",,,"{'levelType': 'depth_below_surface', 'unit': 'cm', 'defaultValue': 10, 'values': [10, 25, 50, 75, 90, 125, 140, 175]}",
558,soil_temperature,Soil temperature,Soil temperature at given depth (default 10 cm),degC,CF-name,{'baseName': 'soil_temperature'},Soiltemperature,"{'elementCodes': ['TJ', 'TJ0', 'TJ1', 'TJ10', 'TJ100', 'TJ1000', 'TJ10000', 'TJ1100', 'TJ120', 'TJ1200', 'TJ1300', 'TJ1400', 'TJ15', 'TJ1500', 'TJ160', 'TJ1750', 'TJ1900', 'TJ20', 'TJ200', 'TJ2000', 'TJ25', 'TJ250', 'TJ2500', 'TJ30', 'TJ300', 'TJ3000', 'TJ350', 'TJ3500', 'TJ40', 'TJ400', 'TJ4000', 'TJ45', 'TJ450', 'TJ4500', 'TJ5', 'TJ50', 'TJ500', 'TJ5000', 'TJ5250', 'TJ550', 'TJ600', 'TJ6000', 'TJ650', 'TJ670', 'TJ700', 'TJ7000', 'TJ750', 'TJ80', 'TJ800', 'TJ8000', 'TJ850', 'TJ8500', 'TJ900', 'TJ9000', 'TJ95', 'TJ950', 'TJ9500', 'TJ9750', 'X1TJ10', 'X1TJ100', 'X1TJ1000', 'X1TJ1100', 'X1TJ120', 'X1TJ1300', 'X1TJ1400', 'X1TJ1500', 'X1TJ160', 'X1TJ20', 'X1TJ200', 'X1TJ250', 'X1TJ300', 'X1TJ350', 'X1TJ40', 'X1TJ400', 'X1TJ450', 'X1TJ5', 'X1TJ50', 'X1TJ500', 'X1TJ600', 'X1TJ700', 'X1TJ80', 'X1TJ800', 'X1TJ900', 'X1TJM10', 'X1TJM20', 'X1TJM50'], 'unit': 'N/A'}","{'standardName': 'soil_temperature', 'unit': 'K', 'version': '44'}",,"{'levelType': 'depth_below_surface', 'unit': 'cm', 'defaultValue': 10, 'values': [0, 1, 5, 10, 15, 20, 25, 30, 40, 45, 50, 80, 95, 100, 120, 160, 200, 250, 300, 350, 400, 450, 500, 550, 600, 650, 670, 700, 750, 800, 850, 900, 950, 1000, 1100, 1200, 1300, 1400, 1500, 1750, 1900, 2000, 2500, 3000, 3500, 4000, 4500, 5000, 5250, 6000, 7000, 8000, 8500, 9000, 9500, 9750, 10000]}",
559,specific_humidity,Spesific humidity,Spesific humidity,gr/kg,CF-name,{'baseName': 'specific_humidity'},Humidity,"{'elementCodes': ['SH'], 'unit': 'gr/kg'}","{'standardName': 'specific_humidity', 'unit': '1', 'version': '44'}",{'values': ['PT0H']},,
560,stage_of_sea_ice_developement,Stage of sea ice developlement,"Age or developement stage of the observed sea ice. WMO code 3739, manual observation",code,METNO-name,{'baseName': 'stage_of_sea_ice_developement'},Sea ice,"{'elementCodes': ['SI'], 'unit': 'code'}",,{'values': ['PT0H']},,stage_of_ice_developement
561,standard_deviation(virtual_temperature PT1M),Standard deviation of virtual temperature (1 min),Standard deviation of the virtual temperature per minute. The virtual temperature of air is the temperature at which the dry air constituent of a parcel of moist air would have the same density as the moist air at the same pressure. This parameter virtual temperature is calculated by taking advantage of the temperature depencence of the speed of sound.,degC/K,CF-name,"{'baseName': 'virtual_temperature', 'method': 'standard_deviation', 'period': 'PT1M'}",Temperature,"{'elementCodes': ['STD_TVIRT_01'], 'unit': 'degC/K'}","{'standardName': 'virtual_temperature', 'cellMethod': 'time: standard_deviation', 'unit': 'degC/K', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
562,state_of_ground,Ground condition,"State of ground, describing whether the ground is dry, wet, or covered by snow or ice. BUFR code table 020026. Code used from 2013. State of ground data from before 2013 was originally from an older code table, but these data has been translated to the current code table.",code,METNO-name,{'baseName': 'state_of_ground'},Field condition,"{'elementCodes': ['EE'], 'unit': 'code'}",,{'values': ['PT6H']},,stateofground_codes
563,state_of_ground_legacy,"State of ground, older international code standard","State of ground, describing wheter the ground is covered by snow or ice. WMO code table 0975 in use from 1982 to 2017. These codes has been translated into the current code table and these data can be found in the elementid state_of_ground.",code,METNO-name,{'baseName': 'state_of_ground_legacy'},Field condtition,"{'elementCodes': ['EM'], 'unit': 'code'}",,{'values': ['PT6H']},,stateofground_legacy_codes2
564,state_of_ground_legacy_national,"State of ground, older national code standard","State of ground, describing wheter the ground is dry. moist or covered by snow or ice. Older national code table is use from 1949 and 1982. Loosely based on WMO code table 0901, but is useing codes for snow and ice instead of dust and sand to make more sence in Norway. These codes has been translated into the current code table and these data can be found in the elementid state_of_ground.",code,METNO-name,{'baseName': 'state_of_ground_legacy_national'},Field condtition,"{'elementCodes': ['EE0'], 'unit': 'code'}",,{'values': ['PT6H']},,stateofground_legacy_codes1
565,sum(boolean_clear_sky_weather(cloud_area_fraction P1D) P1M),Fair weather (month),"Number of days with fair weather per month. The montly value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is 4 or lower the day is defined as a day with fair weather, and the parameter value is set equal to 1. If the sum is higher than 4 the parameter value is set equal to 0).",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_clear_sky_weather', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be below 4 (max 24 if all overcast), then it is clear sky weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN04'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
566,sum(boolean_clear_sky_weather(cloud_area_fraction P1D) P3M),Fair weather (season),"Number of days with fair weather per season. The seasonal value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is 4 or lower the day is defined as a day with fair weather, and the parameter value is set equal to 1. If the sum is higher than 4 the parameter value is set equal to 0). A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_clear_sky_weather', 'period': 'P3M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be below 4 (max 24 if all overcast), then it is clear sky weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN04'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': 'sum', 'version': '44'}",{'values': ['PT6H']},,
567,sum(boolean_fair_weather(cloud_area_fraction P1D) P1M),Mostly fair weather (month),"Number of days with mostly fair weather per month. The montly value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is between 5 and 9 the day is defined as a day with mostly fair weather, and the parameter value is set equal to 1. If the sum is lower than 5 or higher than 9 the parameter value is set equal to 0).",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_fair_weather', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06 and 12 UTC where no single values above 4, (and at 18 utc is 9 or lower?). The sum should be below 9 (max 24 if all overcast), then it is fair weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN09'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
568,sum(boolean_fair_weather(cloud_area_fraction P1D) P3M),Mostly fair weather (season),"Number of days with mostly fair weather per season. The seasonal value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is between 5 and 9 less than 10, and none of the cloud cover values is higher than 4, the day is defined as a day with mostly fair weather, and the parameter value is set equal to 1. If the sum is 5 10 or higher than 9  or at least one cloud cover value is higher than 4, the parameter value is set equal to 0). A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_fair_weather', 'period': 'P3M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06 and 12 UTC where no single values above 4, (and at 18 utc is 9 or lower?). The sum should be below 9 (max 24 if all overcast), then it is fair weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN09'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': 'sum', 'version': '44'}",{'values': ['PT6H']},,
569,sum(boolean_overcast_weather(cloud_area_fraction P1D) P1M),Overcast weather (month),"Number of days with overcast weather per month. The montly value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is 20 or higher the day is defined as a day with overcast weather, and the parameter value is set equal to 1. If the sum is lower than 20 the parameter value is set equal to 0).",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_overcast_weather', 'period': 'P1M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be 20 or more (max 24 if all overcast), then it is overcast weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN20'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': '1', 'version': '44'}",{'values': ['PT6H']},,
570,sum(boolean_overcast_weather(cloud_area_fraction P1D) P3M),Overcast weather (season),"Number of days with overcast weather per season. The seasonal value is a sum of daily values (daily value: if the sum of cloud cover values at 06, 12 and 18 UTC is 20 or higher the day is defined as a day with overcast weather, and the parameter value is set equal to 1. If the sum is lower than 20 the parameter value is set equal to 0). A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",sum,CF-name,"{'baseName': 'cloud_area_fraction', 'method': 'sum', 'innerMethod': 'boolean_overcast_weather', 'period': 'P3M', 'innerPeriod': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.', 'innerMethodDescription': 'The sum of the cloud cover observations at 06, 12 and 18 UTC. The sum should be 20 or more (max 24 if all overcast), then it is overcast weather and boolean is true, that means 1, else 0 (false).'}",Clouds,"{'elementCodes': ['NN20'], 'unit': 'sum'}","{'standardName': 'cloud_area_fraction', 'cellMethod': 'time: sum', 'unit': 'sum', 'version': '44'}",{'values': ['PT6H']},,
571,sum(duration_of_leaf_wetness PT1H),Leaf wetness duration,"Number of minutes where leaf wetness have been measured during the last hour. Leaf wetness is the presence of free water on the surface of a
crop canopy.",minutes,METNO-name,"{'baseName': 'duration_of_leaf_wetness', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Humidity,"{'elementCodes': ['BT'], 'unit': 'minutes'}",,,,
572,sum(duration_of_precipitation P1D),Number of minutes with precipitation during the last 24 hours,Number of minutes where precipitation has been measured during the last 24 hours,minutes,METNO-name,"{'baseName': 'duration_of_precipitation', 'method': 'sum', 'period': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RT_24'], 'unit': 'minutes'}",,,,
573,sum(duration_of_precipitation PT10M),Number of minutes with precipitation during the last 10 minutes,Number of minutes where precipitation has been measured during the last hour,minutes,METNO-name,"{'baseName': 'duration_of_precipitation', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RT_010'], 'unit': 'minutes'}",,,,
574,sum(duration_of_precipitation PT1H),Number of minutes with precipitation during the last hour,Number of minutes where precipitation has been detected during the last 10 minutes.,minutes,METNO-name,"{'baseName': 'duration_of_precipitation', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RT_1'], 'unit': 'minutes'}",,,,
575,sum(duration_of_precipitation PT1M),Precipitation yes/no,Boolean parameter. Reports if there has been precipitation or not during the last minute.,minutes,METNO-name,"{'baseName': 'duration_of_precipitation', 'method': 'sum', 'period': 'PT1M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RT_01'], 'unit': 'minutes'}",,,,
576,sum(duration_of_precipitation_as_drizzle PT10M),Duration of precipitation as drizzle during last 10 min,How many minutes the instrument has detected drizzle during the last 10 minutes,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_drizzle', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTY_010'], 'unit': 'minutes'}",,,,
577,sum(duration_of_precipitation_as_drizzle PT1H),Duration of precipitation as drizzle during last hour,How many minutes the instrument has detected drizzle during the last hour,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_drizzle', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTY_1'], 'unit': 'minutes'}",,,,
578,sum(duration_of_precipitation_as_hail PT10M),Duration of precipitation as hail during last 10 min,How many minutes the instrument has detected hail during the last 10 minutes,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_hail', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTH_010'], 'unit': 'minutes'}",,,,
579,sum(duration_of_precipitation_as_hail PT1H),Duration of precipitation as hail during last hour,How many minutes the instrument has detected hail during the last hour,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_hail', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTH_1'], 'unit': 'minutes'}",,,,
580,sum(duration_of_precipitation_as_rain PT10M),Duration of precipitation as rain during last 10 min,How many minutes the instrument has detected rain during the last 10 minutes,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_rain', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTR_010'], 'unit': 'minutes'}",,,,
581,sum(duration_of_precipitation_as_rain PT1H),Duration of precipitation as rain during last hour,How many minutes the instrument has detected rain during the last hour,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_rain', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTR_1'], 'unit': 'minutes'}",,,,
582,sum(duration_of_precipitation_as_snow PT10M),Duration of precipitation as snow during last 10 min,How many minutes the instrument has detected snow during the last 10 minutes,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_snow', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTS_010'], 'unit': 'minutes'}",,,,
583,sum(duration_of_precipitation_as_snow PT1H),Duration of precipitation as snow during last hour,How many minutes the instrument has detected snow during the last hour,minutes,METNO-name,"{'baseName': 'duration_of_precipitation_as_snow', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Precipitation,"{'elementCodes': ['RTS_1'], 'unit': 'minutes'}",,,,
584,sum(duration_of_sunshine P1D),Sunshine duration (24 h),Number of hours of sunshine over the last 24 hours.,hours,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'P1D', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT', 'OT_24'], 'unit': 'hours'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: sum', 'unit': 's', 'version': '44'}","{'values': ['PT0H', 'PT6H']}",,
585,sum(duration_of_sunshine P1M),Sunshine duration (month),Number of hours of sunshine over the last month.,hours,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'P1M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT'], 'unit': 'hours'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: sum', 'unit': 's', 'version': '44'}",{'values': ['PT0H']},,
586,sum(duration_of_sunshine P1Y),Sunshine duration (year),Number of hours of sunshine over the last year.,hours,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'P1Y', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT'], 'unit': 'hours'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: sum', 'unit': 's', 'version': '44'}",{'values': ['PT6H']},,
587,sum(duration_of_sunshine P3M),Sunshine duration (season),"Number of hours of sunshine over the last season. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",s,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'P3M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT'], 'unit': 's'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time:sum', 'unit': 's', 'version': '44'}",{'values': ['PT0H']},,
588,sum(duration_of_sunshine PT10M),Sunshine duration (10 min),Number of minutes of sunshine over the last ten minutes.,minutes,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'PT10M', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT_010'], 'unit': 'minutes'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: sum', 'unit': 's', 'version': '44'}",,,
589,sum(duration_of_sunshine PT1H),Sunshine duration (1 h),Number of minutes of sunshine over the last hour.,minutes,CF-name,"{'baseName': 'duration_of_sunshine', 'method': 'sum', 'period': 'PT1H', 'methodDescription': 'The arithmetic sum of data values or accumulated value in a given period.'}",Sunshine,"{'elementCodes': ['OT_1'], 'unit': 'minutes'}","{'standardName': 'duration_of_sunshine', 'cellMethod': 'time: sum', 'unit': 's', 'version': '44'}",{'values': ['PT0H']},,
